kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_time0bk
6421137,K04739.01,FALSE POSITIVE,118.4039,5.593,426.0,195.109
9893278,K04740.01,FALSE POSITIVE,182.281992,8.828,509.3,159.6829
9419020,K04808.01,CANDIDATE,2.40174996,1.413,254.4,131.7811
4548162,K04809.01,FALSE POSITIVE,10.0102876,5.33,127.1,131.8186
4270799,K04810.01,CANDIDATE,115.238544,7.653,516.7,155.5989
8811490,K04811.01,CANDIDATE,21.7434141,8.143,154.8,148.935
7293937,K03211.01,FALSE POSITIVE,1.366964704,2.3181,59.7,132.195909
8043721,K04812.01,FALSE POSITIVE,0.77957913,2.457,70.4,131.7173
7985733,K03219.01,FALSE POSITIVE,0.544561598,1.6053,35.2,131.94532
8094120,K04881.01,CANDIDATE,5.6795377,3.757,52.0,132.95
6522824,K04882.01,FALSE POSITIVE,17.4453133,5.14,327.7,135.7562
6802536,K04883.01,FALSE POSITIVE,2.9788702,9.3,,133.5035183
4750341,K04884.01,FALSE POSITIVE,1.97515457,2.633,66.1,132.6578
9935642,K04885.01,CANDIDATE,9.33955596,2.058,245.1,138.11016
6612327,K03270.01,FALSE POSITIVE,21.993112,8.616,1015.7,131.68608
7285757,K03271.01,CONFIRMED,19.5489666,1.78,523.8,149.78882
7285757,K03271.02,CANDIDATE,7.41834569,2.462,234.0,133.51738
5211922,K03273.01,FALSE POSITIVE,27.6853358,4.661,1660.7,132.70397
5280587,K03274.01,CONFIRMED,35.6225528,4.845,651.1,141.4514
8129005,K04741.01,FALSE POSITIVE,7.1403113,5.891,112.1,137.9994
4840156,K07709.01,FALSE POSITIVE,2.69487041,2.553,62.1,131.59964
4138008,K04742.01,CONFIRMED,112.303136,5.869,502.1,230.4383
4262040,K03202.01,CANDIDATE,92.461135,14.344,122.4,211.1951
6468904,K04743.01,FALSE POSITIVE,49.5387264,2.238,740.6,132.50072
5709906,K04744.01,FALSE POSITIVE,3.39155966,3.87,28.4,134.1211
4840672,K04813.01,CANDIDATE,9.2294726,2.446,199.3,136.173
9777556,K04814.01,FALSE POSITIVE,1.33254897,3.083,591.7,132.0549
7287677,K04815.01,CANDIDATE,18.3721835,3.738,152.5,149.4627
10753922,K04816.01,FALSE POSITIVE,18.2260472,3.664,361.1,133.5798
5980061,K04817.01,FALSE POSITIVE,0.630539713,1.7407,239.6,131.99124
7692248,K04886.01,CANDIDATE,17.99562529,0.871,1068.0,145.60092
4059887,K04887.01,FALSE POSITIVE,1.018347376,4.386,47.8,131.69633
8288741,K04888.01,FALSE POSITIVE,0.659299289,0.6908,1118.5,131.738727
6852354,K04889.01,FALSE POSITIVE,101.97435125,2.34,,163.8034772
6691169,K04890.01,CANDIDATE,63.095068,9.485,496.8,158.1168
5816811,K01042.02,FALSE POSITIVE,4.45540935,4.14,,134.4555812
5303346,K03275.01,FALSE POSITIVE,37.32483952,6.9676,4989.2,143.0389
3858879,K03276.01,FALSE POSITIVE,25.951984,20.585,2340.2,148.92323
8280511,K01151.05,CANDIDATE,21.7203362,4.252,87.8,134.7659
3120904,K03277.01,CONFIRMED,42.9136635,5.227,160.6,139.88848
3342467,K03278.01,FALSE POSITIVE,88.1804682,5.033,1138.6,209.15533
11757451,K04745.01,CONFIRMED,177.668663,9.298,901.4,264.2428
2711597,K04746.01,FALSE POSITIVE,0.98041685,0.919,105.7,131.78321
8047428,K04747.01,CONFIRMED,92.263742,8.605,296.9,146.4247
11513486,K04748.01,CONFIRMED,6.64754478,1.961,289.3,137.13371
4851283,K07710.01,FALSE POSITIVE,1.23517588,5.476,232.9,131.9561
6520519,K04749.01,CANDIDATE,1.97650073,1.788,112.5,132.95624
9459162,K04818.01,CANDIDATE,3.79892774,4.112,47.0,133.289
5024138,K04819.01,FALSE POSITIVE,0.416995408,0.8928,112.6,132.21942
9969287,K04820.01,CANDIDATE,14.7401061,5.637,238.0,133.5305
9086001,K04821.01,FALSE POSITIVE,256.52387,9.07,126.1,366.9377
4927734,K03212.01,FALSE POSITIVE,3.0001191,6.61,7.7,132.9097
11189311,K03220.01,CONFIRMED,81.4160138,14.175,762.3,160.86387
10747501,K04891.01,CANDIDATE,4.7309013,2.889,228.5,135.19333
10586744,K04892.01,CANDIDATE,21.3761817,8.543,104.0,143.6293
11970050,K04893.01,CANDIDATE,6.58753699,2.043,232.1,138.0427
10031918,K04894.01,FALSE POSITIVE,8.5900471,3.463,137.0,131.9816
5276332,K07723.01,FALSE POSITIVE,357.82544,9.12,152.5,255.208
3544640,K03279.01,CONFIRMED,30.8278245,4.214,641.3,143.1448
10653179,K03280.01,CONFIRMED,47.1607932,4.003,723.2,150.25797
12066569,K03282.01,CONFIRMED,49.2768448,3.787,1132.9,157.02073
6497146,K03284.01,CONFIRMED,35.2330694,3.674,352.8,135.36477
8625813,K03285.01,FALSE POSITIVE,45.3965379,3.826,1001.6,136.9486
4651399,K07698.01,FALSE POSITIVE,508.807642,4.495,2127.0,368.34861
5308296,K04750.01,CANDIDATE,36.721576,7.758,538.2,151.2481
9953575,K04751.01,FALSE POSITIVE,362.69427,9.7,439.9,154.1124
7887890,K04752.01,FALSE POSITIVE,370.35639,12.75,732.2,425.9854
3122872,K03203.01,CANDIDATE,96.81647,10.227,164.7,136.55813
4544628,K04753.01,FALSE POSITIVE,0.729724346,2.699,23.0,132.04276
9702945,K04822.01,CANDIDATE,3.51413723,3.919,32.7,132.40707
11401253,K04823.01,CANDIDATE,4.96504981,2.212,50.7,135.55399
7052511,K04824.01,FALSE POSITIVE,0.821472455,2.433,127.1,132.3003
4764774,K04825.01,FALSE POSITIVE,1.29019586,3.741,86.5,132.11311
10549902,K04826.01,CANDIDATE,1.141148847,1.629,73.1,132.24561
12416597,K04895.01,CANDIDATE,12.460565,3.903,143.9,139.2206
11135694,K04896.01,CANDIDATE,19.5945772,6.77,129.3,150.1394
9910828,K04897.01,FALSE POSITIVE,8.48032079,5.791,170.7,135.85214
10065053,K04898.01,CANDIDATE,409.87844,10.58,647.1,238.9944
11867608,K04899.01,FALSE POSITIVE,227.6258,9.47,131.0,143.8206
8016691,K03286.01,CONFIRMED,18.1373788,3.844,310.8,136.8106
6584273,K03287.01,CONFIRMED,51.1104797,7.712,330.0,143.77855
5768816,K03288.01,CONFIRMED,47.9869119,5.342,859.3,160.65401
3644071,K01192.02,FALSE POSITIVE,359.047933,16.637,5622.7,295.76934
5360974,K03289.01,FALSE POSITIVE,29.8042694,3.107,1046.5,150.6786
10291589,K04754.01,CANDIDATE,7.08757462,3.342,187.0,138.27614
10118266,K04755.01,CANDIDATE,3.74318005,1.111,237.5,135.13816
5695615,K04756.01,CANDIDATE,5.4169303,7.512,109.5,133.7916
4670267,K07699.01,FALSE POSITIVE,1.003049079,7.9657,219273.0,132.372429
7435780,K04757.01,FALSE POSITIVE,0.933157032,2.614,87.8,132.35981
8938937,K04758.01,FALSE POSITIVE,37.1083458,4.112,366.5,166.2453
5651846,K04827.01,CANDIDATE,31.1920226,2.849,447.8,153.83296
10556180,K04828.01,FALSE POSITIVE,1.02104719,6.39,246.1,131.5654
12401132,K04829.01,CANDIDATE,7.630545,3.63,364.9,907.04471
12401132,K04829.02,FALSE POSITIVE,12.083457,3.536,312.5,134.475
8308070,K04830.01,FALSE POSITIVE,401.5907,14.77,115.0,172.2086
6424561,K04900.01,CANDIDATE,6.6716723,2.693,154.4,131.92708
6956136,K03221.01,FALSE POSITIVE,53.912783631,44.0504,216.7,132.2733337
10661917,K04901.01,FALSE POSITIVE,1.23142395,2.186,19.6,131.7651
10000162,K04902.01,CANDIDATE,409.38645,13.78,531.5,340.621
7799701,K04903.01,FALSE POSITIVE,386.828262,5.045,1024.9,177.56829
6233483,K03291.01,FALSE POSITIVE,15.8733803,7.4672,4094.1,135.62779
5392871,K03292.01,FALSE POSITIVE,42.3991752,7.251,484.0,151.96105
3858851,K03293.01,FALSE POSITIVE,25.95198823,14.602,5103.3,154.88102
3858917,K03294.01,FALSE POSITIVE,25.9522401,20.813,2896.9,148.91634
4466356,K03295.01,FALSE POSITIVE,14.12809896,2.326,263.1,137.11989
7949593,K04759.01,CANDIDATE,17.7662938,3.079,181.1,146.6886
9474232,K04760.01,FALSE POSITIVE,13.6917833,4.198,145.4,133.78898
3859151,K04761.01,FALSE POSITIVE,25.95633,26.34,158.2,154.7054
7098255,K04762.01,CANDIDATE,11.56722589,2.507,373.7,132.25385
11456279,K03204.01,FALSE POSITIVE,0.572937573,2.576,80.8,131.69432
4670361,K07700.01,CANDIDATE,631.56889,14.37,789.0,145.0148
5398002,K03213.01,FALSE POSITIVE,14.15849823,46.356,347.3,134.0065
6680911,K04831.01,FALSE POSITIVE,207.471349,7.469,229.2,254.0825
10356124,K04832.01,FALSE POSITIVE,12.3748247,90.01,390.9,138.0615
10584140,K04833.01,CANDIDATE,4.31724247,4.126,59.0,133.4243
8233326,K04834.01,CANDIDATE,3.74099144,5.428,34.3,132.2112
4940203,K07711.01,CANDIDATE,302.779824,16.847,270.9,355.5989
6286161,K03501.01,FALSE POSITIVE,14.541781166,9.1151,143645.0,144.269401
5385471,K03502.01,FALSE POSITIVE,12.4261177,28.5357,1230.4,141.51156
6368175,K03503.01,CONFIRMED,21.1876185,3.69,71.7,148.8101
5471158,K03504.01,FALSE POSITIVE,12.42560404,23.9402,458.9,141.5345371
4847843,K03505.01,FALSE POSITIVE,30.9604688,14.992,460.9,156.1377
5120225,K07717.01,FALSE POSITIVE,1.041619932,8.1218,1840.5,131.836717
9656543,K03588.01,FALSE POSITIVE,2.544594443,3.21373,348777.0,135.040236
10751515,K03589.01,FALSE POSITIVE,56.40651043,18.4332,102294.0,138.309825
3348093,K03590.01,FALSE POSITIVE,7.964400574,4.4761,190903.0,131.563644
6182846,K03591.01,FALSE POSITIVE,6.399101307,4.7439,83326.0,134.702264
4939346,K01873.02,CONFIRMED,34.9168399,7.343,500.0,157.6693
6442602,K07778.01,FALSE POSITIVE,0.56678228,4.725,146.8,131.8571
9851126,K03592.01,FALSE POSITIVE,8.480303653,7.48907,81427.9,135.854594
6268648,K01613.02,CANDIDATE,94.094392,10.833,46.6,196.7503
11455428,K03365.01,CONFIRMED,22.1270885,4.472,418.2,144.93039
10484409,K03366.01,FALSE POSITIVE,10.6784787,2.307,201.0,140.159
10935993,K03367.01,CANDIDATE,25.3736543,2.619,372.9,151.8667
5257082,K03368.01,CANDIDATE,10.08535311,1.75,222.5,140.97143
5796185,K03369.01,FALSE POSITIVE,42.559265547,3.36626,207990.0,161.57039
8628665,K03434.01,CANDIDATE,10.2856373,3.043,134.9,141.20764
3945802,K03435.01,FALSE POSITIVE,24.2157996,4.359,322.2,133.4661
6265665,K03436.01,CONFIRMED,44.2018402,4.949,235.6,163.21471
5881307,K07746.01,CANDIDATE,393.95608,13.89,482.2,388.3294
4645174,K03437.01,CONFIRMED,15.0330623,6.326,132.2,131.89493
4645174,K03437.02,CANDIDATE,34.7496038,4.548,227.1,158.68412
8719419,K03506.01,FALSE POSITIVE,12.62530918,3.163,39413.0,140.0602
9028474,K03510.01,FALSE POSITIVE,124.93576738,7.5608,240899.0,177.686517
4349442,K01803.02,FALSE POSITIVE,12.720298433,2.4599,283.6,140.3669017
6124137,K07764.01,CANDIDATE,227.83457,21.59,155.3,238.7643
3644542,K03511.01,FALSE POSITIVE,119.67980316,32.1928,299046.0,176.106325
6182849,K03512.01,FALSE POSITIVE,6.399107136,5.21981,376769.0,134.7016363
9851142,K03513.01,FALSE POSITIVE,8.480304281,7.46159,83114.6,135.854534
3442054,K03593.01,FALSE POSITIVE,117.6813778,12.7591,45362.0,147.206961
4079530,K03594.01,FALSE POSITIVE,17.72722648,4.1376,147144.0,144.070402
6445531,K07779.01,FALSE POSITIVE,1.71024931,2.833,98.6,131.6423
10677186,K03595.01,FALSE POSITIVE,100.40132734,9.7436,53781.9,216.083194
9025914,K03596.01,FALSE POSITIVE,11.320287875,4.82219,243413.0,131.803042
9366988,K03597.01,FALSE POSITIVE,1.219034103,2.4494,95697.0,132.100694
