kepid,period
4737267,9.524076
4737302,9.455588
4738426,0.248835
4739194,1.246586
4739791,0.898921
4740676,3.454241
4743508,2.086079
4743626,1.302875
4751083,4.53237
4753988,7.304426
4757331,2.362089
4758092,0.289166
4758368,3.749935
4760746,15.068073
4761060,3.361391
4762887,0.736574
4769799,21.929314
4773155,25.706
4815612,3.8568
4824268,152.151424
4826439,2.474295
4832197,1.895466
4839180,8.852687
4840263,1.915648
4840327,26.737133
4840818,10.049537
4843222,0.387405
4843592,0.483536
4847343,11.416917
4847369,12.350014
4847832,30.960237
4847843,30.959726
4848423,3.003653
4850874,1.775901
4851217,2.47028
4851464,5.548257
4852055,2.414857
4853067,1.340922
4857282,0.250753
4859432,0.38548
4860932,12.365356
4862625,20.000249
4902030,1.757606
4904304,0.389474
4908495,3.120315
4909422,0.395103
4909707,2.302364
4912589,68.376607
4912991,8.885035
4921906,0.213732
4928119,44.639015
4929299,0.868719
4931073,26.951236
4932348,38.036773
4932691,18.112079
4935914,3.486333
4936180,4.640922
4936334,0.354369
4936680,0.666227
4936990,10.314509
4937143,9.848876
4937217,0.429342
4940201,8.816628
4940438,9.085907
4941060,0.303422
4945035,1.174683
4945588,1.12908
4945857,0.335415
4946584,0.453972
4946680,8.66526
4947528,0.496988
4947726,4.726086
4948863,8.64359
4949187,11.977392
4949194,41.263202
4949770,1.564091
4950505,0.294809
4950557,24.714791
4954113,0.668027
4990977,2.649025
4991959,0.360939
4999260,0.378368
4999357,0.990129
5000179,3.632935
5003117,37.609098
5005570,0.422844
5005618,340.967211
5006817,94.811969
5008287,0.291878
5014753,3.170626
5015913,2.359937
5015926,0.362687
5016163,5.24566
5017058,2.323895
5017127,20.006404
5018787,0.607192
5020034,2.119111
5021174,4.045054
5021732,15.039507
5022440,3.69395
5022573,0.441725
5022908,0.637248
5023948,3.649293
5024292,4.301032
5024447,771.83
5024450,3.051851
5025261,2.171411
5025294,5.46269
5033682,0.379916
5034333,6.93228
5035972,49.266827
5036538,2.122016
5036966,62.735
5039392,236.727941
5039441,2.151383
5041569,2.535436
5041843,0.457234
5041975,2.959929
5077629,7.91937
5077994,0.696287
5078879,1.039371
5080652,4.144357
5088735,0.507501
5090690,24.023325
5090937,8.800693
5091614,21.142458
5095269,18.611962
5097446,1.288064
5098444,26.948986
5103998,174.770166
5104097,0.275395
5107226,310.916427
5110423,5.370434
5112567,1.615892
5113053,3.1851
5115178,12.851724
5122112,3.05517
5123176,0.707844
5127005,1.621124
5128972,0.505324
5129777,26.15853
5130380,19.983
5130740,210.302519
5166136,0.233948
5174346,0.350592
5174677,43.542844
5175668,21.882115
5179609,43.930966
5181455,5.579631
5181804,4.3505
5193386,21.378294
5195137,0.324117
5196301,1.91041
5197256,6.963388
5198934,0.834739
5199426,78.604362
5199489,0.464816
5201619,0.507276
5211385,1.660687
5211470,4.808595
